SHS,District,Location,Gender,Email,Region
Accra Academy,Accra Metro,Kaneshie,Male,accraacademyshs@ges.gov.gh,Greater Accra Region
Accra Girls Senior High School,Ayawaso North Municipal,Mamobi,Female,accragirlsshs@ges.gov.gh,Greater Accra Region
Accra Senior High School,Korley Klottey Municipal,Asylum Down,Mixed,accrashs@ges.gov.gh,Greater Accra Region
Accra Technical Training Centre,Ayawaso Central Municipal,Kokomlemle,Mixed,accratechtrgcentre@ges.gov.gh,Greater Accra Region
Accra Wesley Girls Senior High School,Accra Metro,Kaneshie,Female,accrawesleygirlshs@ges.gov.gh,Greater Accra Region
Achimota Senior High School,Okaikoi North Municipal,Achimota,Mixed,achimotashs@ges.gov.gh,Greater Accra Region
Ada Senior High School,Ada East District,Ada-Foah,Mixed,adashs@ges.gov.gh,Greater Accra Region
Ada Senior High/Technical School,Ada West District,Sege,Mixed,adashst@ges.gov.gh,Greater Accra Region
Ada Technical Institute,Ada East District,Ada,Mixed,adatechinst@ges.gov.gh,Greater Accra Region
Adjen Kotoku Senior High School,Ga West Municipal,Adjen Kotoku,Mixed,adjenkotokushs@ges.gov.gh,Greater Accra Region
Amasaman Senior High/Technical School,Ga West Municipal,Amasaman,Mixed,amasamanshst@ges.gov.gh,Greater Accra Region
Ashiaman Senior High School,Ashiaman Municipal,Ashiaman,Mixed,ashiamanshs@ges.gov.gh,Greater Accra Region
Ashiaman Technical/Vocational Inst.,Ashiaman Municipal,Ashiaman,Mixed,ashiamantechvocinst@ges.gov.gh,Greater Accra Region
Chemu Senior High/Technical School,Tema Metro,Tema Comm 4,Mixed,chemushst@ges.gov.gh,Greater Accra Region
Christian Methodist Senior High School,Ga South Municipal,Aplaku (Weija),Mixed,christianmethodistshs@ges.gov.gh,Greater Accra Region
Ebenezer Senior High School,Ablekuma West Municipal,Dansoman,Mixed,ebenezershs@ges.gov.gh,Greater Accra Region
"Forces Senior High/Technical School, Burma Camp",La Dade-Kotopon Municipal,Burma Camp,Mixed,forcesshs@ges.gov.gh,Greater Accra Region
Frafraha Community Senior High School,Adentan Municipal,Frafraha,Mixed,frafrahacomshs@ges.gov.gh,Greater Accra Region
Ghanata Senior High School,Shai-Osudoku District,Dodowa,Mixed,ghanatashs@ges.gov.gh,Greater Accra Region
Holy Trinity Senior High School,Accra Metro,High Street Accra,Mixed,holytrinityshs@ges.gov.gh,Greater Accra Region
Kaneshie Senior High/Technical School,Ablekuma Central Municipal,Kaneshie,Mixed,kaneshieshst@ges.gov.gh,Greater Accra Region
Kinbu Senior High/Technical School,Korley Klottey Municipal,Tudu – Accra,Mixed,kinbushst@ges.gov.gh,Greater Accra Region
Kpone Community Senior High School,Kpone Katamanso Municipal,Katamanso,Mixed,kponecommshs@ges.gov.gh,Greater Accra Region
Kwabenya Community Senior High School,Ga East Municipal,Kwabenya,Mixed,kwabenyacommshs@ges.gov.gh,Greater Accra Region
La Presby Senior High School,La Dade-Kotopon Municipal,La Emmaus,Mixed,presbylashs@ges.gov.gh,Greater Accra Region
Labone Senior High School,La Dade-Kotopon Municipal,Labone,Mixed,laboneshs@ges.gov.gh,Greater Accra Region
Lashibi Community Senior High School,Tema West Municipal,Lashibi Sakumono,Female,lashibicommunityshs@ges.gov.gh,Greater Accra Region
Ngleshie Amanfro Senior High School,Ga South Municipal,Ngleshie Amanfro,Mixed,ngleshieamanfroshs@ges.gov.gh,Greater Accra Region
Ningo Senior High School,Ningo Prampram District,Old Ningo,Mixed,ningoshs@ges.gov.gh,Greater Accra Region
Nungua Senior High School,Krowor Municipal,Nungua,Mixed,nunguashs@ges.gov.gh,Greater Accra Region
O’reilly Senior High School,Krowor Municipal,Okpoi Gomme,Mixed,oreillyshs@ges.gov.gh,Greater Accra Region
Odorgonno Senior High School,Ga Central Municipal,Awoshie,Mixed,odorgonnoshs@ges.gov.gh,Greater Accra Region
Osudoku Senior High/Technical School,Shai-Osudoku District,Asutsuare,Mixed,osudokushst@ges.gov.gh,Greater Accra Region
Our Lady Of Mercy Senior High School,Tema Metro,Tema Comm 4,Mixed,ourladyofmercyshs@ges.gov.gh,Greater Accra Region
Prampram Senior High School,Ningo Prampram District,Prampram,Mixed,prampramshs@ges.gov.gh,Greater Accra Region
"Presby Boys Senior High School, Legon",La Nkwantanang Madina Municipal,Legon,Male,presbyboyslegonshs@ges.gov.gh,Greater Accra Region
"Presby Senior High School, Osu",Korley Klottey Municipal,Osu,Mixed,presbyshsosu@ges.gov.gh,Greater Accra Region
"Presby Senior High School, Tema",Tema Metro,Tema,Mixed,presbyshstema@ges.gov.gh,Greater Accra Region
"Presby Senior High School, Teshie",Ledzokuku Municipal,Teshie,Mixed,presbyteshieshs@ges.gov.gh,Greater Accra Region
Sacred Heart Technical Institute,Accra Metro,James Town,Mixed,sacredhearttechinst@ges.gov.gh,Greater Accra Region
St. John’s Grammar Senior High School,Ga North Municipal,Achimota,Mixed,stjohnsgrammarshs@ges.gov.gh,Greater Accra Region
St. Margaret Mary Senior High/Technical School,Ablekuma West Municipal,Dansoman,Mixed,stmargaretmaryshst@ges.gov.gh,Greater Accra Region
"St. Mary’s Senior High School, Korle Gonno",Accra Metro,Korle Gonno,Female,stmarysshs@ges.gov.gh,Greater Accra Region
"St. Thomas Aquinas Senior High School, Cantonments",La Dade-Kotopon Municipal,Cantonments,Male,stthomasaquinasshs@ges.gov.gh,Greater Accra Region
Tema Manhean Senior High/Technical School,Tema Metro,Tema New Town,Mixed,temamanheanshst@ges.gov.gh,Greater Accra Region
Tema Meth. Day Senior High School,Tema Metro,Tema Comm Ii,Mixed,temamethdayshs@ges.gov.gh,Greater Accra Region
Tema Senior High School,Tema West Municipal,"Tema Comm 5 Community 14,",Mixed,temashs@ges.gov.gh,Greater Accra Region
Tema Technical Institute,Tema Metro,Tema,Mixed,tematechinst@ges.gov.gh,Greater Accra Region
Teshie Tech. Institute,Ledzokuku Municipal,Teshie,Mixed,teshietechinst@ges.gov.gh,Greater Accra Region
Wesley Grammar Senior High School,Ablekuma North Municpal,Dansoman,Mixed,wesleygrammarshs@ges.gov.gh,Greater Accra Region
West Africa Senior High School,La Nkwantanang Madina Municipal,Adenta,Mixed,westafricashs@ges.gov.gh,Greater Accra Region
Achinakrom Senior High School,Ejisu Juaben Municipal,Achinakrom,Mixed,achinakromshs@ges.gov.gh,Ashanti Region
Adanwomase Senior High School,Kwabre East,Adanwomase,Mixed,adanwomaseshs@ges.gov.gh,Ashanti Region
Adobewora Community Senior High School,Atwima Mponua,Adobewora,Mixed,adobeworacommshs@ges.gov.gh,Ashanti Region
Adu Gyamfi Senior High School,Sekyere South,Jamasi,Mixed,adugyamfishs@ges.gov.gh,Ashanti Region
Adugyama Community Senior High School,Ahafo Ano South,Adugyama,Mixed,adugyamacommshs@ges.gov.gh,Ashanti Region
Aduman Senior High School,Afigya-Kwabere,Aduman,Mixed,adumanshs@ges.gov.gh,Ashanti Region
Adventist Girls Senior High School,Kwabre East,Ntonso,Female,adventistgirlsshs@ges.gov.gh,Ashanti Region
"Adventist Senior High School, Kumasi",Kumasi Metro,"Bantama, Kumasi",Mixed,adventistkumasishs@ges.gov.gh,Ashanti Region
Afigyaman Senior High School,Afigya-Kwabre,Kyekyewere,Mixed,afigyamanshs@ges.gov.gh,Ashanti Region
Afua Kobi Ampem Girls’ Senior High School,Atwima Kwanwoma,Trabuom,Female,afuakobiampemgirlsshs@ges.gov.gh,Ashanti Region
Agogo State College,Asante Akim North,Agogo,Mixed,agogostatecollegeshs@ges.gov.gh,Ashanti Region
Agona Senior High/Technical School,Sekyere South,Agona,Mixed,agonashst@ges.gov.gh,Ashanti Region
"Agric Nzema Senior High School, Kumasi",Kumasi Metro,"Kumasi, Agric Nzema",Mixed,agricnzemashs@ges.gov.gh,Ashanti Region
Akrofuom Senior High/Technical School,Adansi South,Akrofuom,Mixed,akrofuomshst@ges.gov.gh,Ashanti Region
Akumadan Senior High School,Offinso North,Akumadan,Mixed,akumadanshs@ges.gov.gh,Ashanti Region
Akwesi Awobaa Senior High School,Ejura/Sekyedumase,Anyinasu,Mixed,akwesiawobaashs@ges.gov.gh,Ashanti Region
"Al-Azariya Islamic Senior High School, Kumasi",Kumasi Metro,"Old Tafo, Kumasi",Mixed,al-azariyaislamicshs@ges.gov.gh,Ashanti Region
Amaniampong Senior High School,Mampong Municipal,Mampong,Mixed,amaniampongshs@ges.gov.gh,Ashanti Region
"Anglican Senior High School, Kumasi",Kumasi Metro,"Asem, Kumasi",Mixed,anglicankumasishs@ges.gov.gh,Ashanti Region
Antoa Senior High School,Kwabre East,Antoa,Mixed,antoashs@ges.gov.gh,Ashanti Region
"Armed Forces Senior High/Technical School, Kumasi",Kumasi Metro,Bantama Kumasi,Mixed,armedforceskumasishst@ges.gov.gh,Ashanti Region
Asanteman Senior High School,Kumasi Metro,Bantama,Mixed,asantemanshs@ges.gov.gh,Ashanti Region
Asare Bediako Senior High School,Adansi North,Akrokerri,Mixed,asarebediakoshs@ges.gov.gh,Ashanti Region
Asuoso Community Senior High School,Offinso North,Asuoso,Mixed,asuosocommshs@ges.gov.gh,Ashanti Region
Atwima Kwanwoma Senior High/Technical School,Atwima Kwanwoma,Trede,Mixed,atwimakwanwomashst@ges.gov.gh,Ashanti Region
Banka Community Senior High School,Asante Akim South,Banka,Mixed,bankacommsshs@ges.gov.gh,Ashanti Region
Bankoman Senior High School,Sekyere Kumawu,Banko,Mixed,bankomanshs@ges.gov.gh,Ashanti Region
Barekese Senior High School,Atwima Nwabiagya,Barekese,Mixed,barekeseshs@ges.gov.gh,Ashanti Region
Beposo Senior High School,Bosomtwe,Beposo,Mixed,bepososhs@ges.gov.gh,Ashanti Region
Bodomase Senior High/Technical School,Sekyere Kumawu,Bodomase,Mixed,bodomaseshst@ges.gov.gh,Ashanti Region
Bodwesango Senior High School,Adansi North,Bodwesango,Mixed,bodwesangoshs@ges.gov.gh,Ashanti Region
Bompata Presby Senior High School,Asante Akim South,Bompata,Mixed,presbybompatashs@ges.gov.gh,Ashanti Region
Bonwire Senior High/Technical School,Ejisu Juaben Municipal,Bonwire,Mixed,bonwireshst@ges.gov.gh,Ashanti Region
Bosome Senior High/Technical. School,Bosome Freho,Asiwa,Mixed,bosomeshst@ges.gov.gh,Ashanti Region
Bosomtwe Oyoko Community Senior High School,Bosomtwe,Bosomtwe Oyoko,Mixed,bosomtweoyokocommshs@ges.gov.gh,Ashanti Region
"Christ The King Catholic SHS, Obuasi",Sekyere Central,Nsuta,Mixed,nsutamancathshs@ges.gov.gh,Ashanti Region
"Christ The King Catholic, Obuasi",Obuasi Municipal,Obuasi,Mixed,christthekingcathshs@ges.gov.gh,Ashanti Region
Church Of Christ Senior High School,Ejisu Juaben,[near] Woe,Mixed,churchofchristshs@ges.gov.gh,Ashanti Region
"Collins Senior High/commercial School, Agogo",Asante Akim North,Agogo,Mixed,collincomshs@ges.gov.gh,Ashanti Region
Dadease Agric Senior High School,Sekyere Kumawu,Dadease,Mixed,dadeaseagricshs@ges.gov.gh,Ashanti Region
